user_id	item_id
122900681	115481797
35914911	57375774
102214620	350319800
48846470	371810080
122900681	222197951
34235391	51976521
80995307	168681351
114324424	103004396
46386780	358664065
60037148	315119130
57941102	266875006
65455333	181630953
72806608	114421154
100188133	88554860
136669839	16317086
68093577	329765952
46555487	132470269
109247852	190774778
13526109	76529462
68285359	337314820
53859312	286623026
100699822	295752555
13284374	307439565
24873697	122971207
11542953	108778123
41846856	242729671
22234531	306931036
21164348	57375774
51333781	125960042
69920359	270073062
92324631	245844645
47769634	377086296
65020793	331269987
130803486	166385385
805486	120819611
79502459	289071406
92235730	250041409
55167973	59685884
16960580	61214192
5090986	303888087
36895925	307439565
7171592	187765636
86413766	165101425
65351607	56600981
116702371	273998401
107536858	397670044
65946432	300930741
114587396	315368476
16653860	186214459
87023530	402456501
29306605	322311611
70489829	309687952
88475263	295306824
25331864	186911806
59735930	160973744
51609657	51497256
59401082	256985494
140147238	177324724
139841713	36806688
54398999	26618596
30628767	396946291
120762397	184698282
56214697	384299441
141689523	197286723
67785182	337050113
99761647	255699787
70151123	34168030
27764271	230340670
40287902	300597039
72760977	8602331
121117610	125864479
20056956	225234025
66390699	294177092
63648353	157617105
40219401	362141947
61491727	315368476
2237195	91626280
98845893	68967893
65351607	233876573
66247958	310254487
61811929	193880066
82691073	211888287
132239837	325631881
130854286	185584559
12731921	289071406
102870624	373301675
132054484	173252388
41532449	154819574
28566373	245051277
24588872	341946171
80995307	390732341
101295515	97183212
43877627	208198631
52787954	354420308
125661931	187009387
69840665	22039007
55124730	164144259
13342129	357889452
139841713	73681123
102655670	293169309
137029395	188211774
23160073	196996900
73362176	346440496
8249645	209008660
26680423	86486114
25628846	114008085
33051461	207449114
119186000	191745752
71313522	315368476
27764271	368654893
116141615	156641612
46442556	209580300
26680423	58851154
36469324	340164930
50279201	116527836
92336466	178789856
142376548	338414149
14846524	44173124
29186712	61362603
45962211	324968260
117026347	194120428
100347784	223578741
64176868	315119130
23625169	397816686
24009797	80172648
111655624	130651071
114278076	103793903
50763271	134058902
36312047	144625473
82948911	8274554
38688445	67623688
100202237	238662769
87846200	106912104
93245122	187149902
115264286	320525658
83575197	120320774
120931860	312631964
98657438	86557801
101295515	400896361
44247443	184087201
30628767	364985630
2237195	329101679
61388582	122566924
123123616	282632922
68586888	256208588
5090986	28822001
74383576	269961649
21921341	61408824
81400023	168592005
115151390	375037568
103740694	1741884
7733257	86657284
138668695	198292381
105885815	178522097
137317808	170742994
12002880	35763494
97074118	385466119
89204521	385397500
68308742	142334509
13061404	385934899
21088342	321809149
48212528	162291962
27964433	308970424
19957043	306593949
93427475	270751487
37106476	137208509
127889810	131874172
100405550	275081582
122900681	200893942
123918890	333028913
50763271	235095249
79048830	321618712
82135408	234660974
24516057	318825684
81184299	2039039
75774619	253677232
117684821	235463825
100842358	134452778
22535541	21135800
57160770	238678221
25204806	349995865
38162700	307439565
84329454	297261023
47825319	5968876
125943859	287315
44373216	144625473
118123970	169151285
79048830	158440645
138041955	303090144
56522361	379138795
117579292	265290223
86160621	198292381
1267772	54523657
53754786	123551928
8249645	377055457
117103892	28493010
9496320	366510308
73280337	85551646
100157213	155580935
104310990	96924317
104975488	172190842
104902210	288911181
140147238	310498531
58605777	94543709
69481779	158074789
27764271	275009505
140998700	315119130
28716016	122167519
108571611	3129
251720	42751203
56298878	401641925
101295515	206625982
73280337	152651725
6873091	270007073
18341899	249559819
40197205	164027294
104799870	379680663
22715592	382417631
130327160	203055087
31787467	353677981
68037937	199597690
131994240	264363928
136902645	106925858
4531215	369170393
126631652	339392989
128405137	167074648
39697579	8950133
85876488	151633434
91533931	144625473
17590245	124356272
51609657	129327554
116963124	1741884
11444752	335976712
22383244	355750683
126025424	349051058
59735930	72046727
98657438	157562589
67908886	315119130
30194051	234087607
14851283	233201401
139317829	83516419
111014090	255103751
112463276	347221497
51212830	69184379
69177458	304131011
135058606	9223399
78468589	369918126
75634950	172362241
128972758	208261744
71449651	400625953
89052184	152468822
4781470	376704077
980881	120909574
52207446	179141704
3075839	182002284
113034341	131854077
101187919	171222320
127504650	86939824
77754399	85326508
116437142	156593282
68285359	184332395
140511553	287045289
56576367	169179530
110565194	377367347
35836032	10146944
120931860	69934323
23280632	79478907
74403130	129101089
66462553	290923685
