user_id	item_id
67799785	223315929
22715592	382417631
26723898	192410537
112105723	166604411
42479668	310577673
137610561	296691641
142170669	180833419
61142850	357344289
102614055	56337537
125661931	169809056
64972850	247960345
90268410	72114197
121117610	125864479
15269453	23747615
40377360	390764193
109030046	206932680
100699822	295752555
83695949	363128383
41846856	242729671
6227749	122057227
32495750	269559118
12969664	372701297
53934634	164144259
53934634	19909721
64265803	120747464
13284374	307439565
85360697	162223055
62755374	316464079
126760456	50490019
20838757	90355541
66835786	42437985
5969878	204455870
77534217	74275278
25068433	294039109
67799785	164197889
90926713	52746316
34235391	51976521
63648353	157617105
17603878	312860955
37881055	336845713
40551613	104576954
93245122	187149902
137029395	188211774
5741677	221299772
84361280	71796857
127889810	131874172
125204440	75681830
22504440	67146348
2347129	96440031
33216909	54928562
35914911	57375774
13061404	385934899
122900681	115481797
47825319	5968876
19957043	306593949
95063790	210282132
113485554	289396231
137473686	179868078
22234531	306931036
25068433	323866205
122900681	222197951
6672618	338002352
50763271	134058902
28437796	179925849
126850333	24620500
70909612	333028913
83575197	19465959
29174771	364600886
83575197	120320774
60529808	223544357
7528965	152678011
52591653	49526812
47538988	39385519
101987337	330006499
130170875	343410895
103563495	85794087
91157292	193222203
135857616	385934899
121962793	279273763
113452324	389878265
27228415	221478538
116526342	141986529
39515450	325845058
109040487	315646894
139011141	78487883
50184788	183562502
32996080	207188539
72806608	114421154
59401082	256985494
1480784	145598441
61867034	315368476
104254677	212519696
60470291	397674754
10526046	21162357
53801461	263070849
45996843	2039039
8249645	209008660
125661931	187009387
129192701	147034943
54320804	391159976
116426631	361143371
68545706	206807320
73246770	239890176
117302585	62260487
93077539	20881241
97230857	294167986
33216909	55308023
16083355	371810080
13041001	385934899
91445112	197925791
33533907	63453894
21164348	57375774
109683293	198292381
64984353	322839300
98657438	157562589
10079053	1741884
128870692	307439565
76141555	355909986
46386780	358664065
58128615	370854864
1087128	281656115
1847994	198292381
42185827	21481766
9496320	366510308
96847453	371157974
125347207	305102781
35594769	249480376
129865949	2039039
19768466	371810080
50539419	174030772
14035214	73290193
56650819	340244202
42579657	59196642
140147238	177324724
73400246	361346418
96823152	228480877
5814944	225610835
57865306	370594283
116041076	142375514
138424707	88057415
77683538	98190692
13387544	245732646
42004869	176728507
73160070	385934899
51346237	385247334
99384719	368437221
22779646	183313945
100270565	29152261
140523971	75681830
99014662	224861726
68792992	72475613
77968100	30199420
122429487	222973173
95857518	271368821
137959760	291604241
94085756	78259958
21773224	401652760
46555487	132470269
124858443	388094170
27172992	36419590
121010086	148707687
130854286	185584559
38595111	122171877
8249645	377055457
30981761	237107662
103768266	390657614
9505264	51571847
84052899	384336833
47464517	25101449
